0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:26 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:28 -0300] "GET /TCC_AGORA/css/CadastroCliente.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:30 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:30 -0300] "GET /TCC_AGORA/index.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:32 -0300] "GET /TCC_AGORA/ControlCompra?action=Tabela HTTP/1.1" 500 3278
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:56 -0300] "GET /TCC_AGORA/ControlCompra?action=Tabela HTTP/1.1" 500 3134
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:02 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:02 -0300] "GET /TCC_AGORA/Login.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:02 -0300] "GET /TCC_AGORA/css/CadastroCliente.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:08 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:08 -0300] "GET /TCC_AGORA/index.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:28:09 -0300] "GET /TCC_AGORA/ControlCompra?action=Tabela HTTP/1.1" 500 3134
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:30:16 -0300] "GET /TCC_AGORA/faces/ControlCliente?action=Tabela HTTP/1.1" 200 8101
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:30:17 -0300] "GET /TCC_AGORA/faces/ControlEstoque?action=Tabela HTTP/1.1" 200 7658
